,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CD34,0,0.644822071,0.614,0.124,0,0,CD34
C1QTNF4,0,0.608788962,0.499,0.147,0,0,C1QTNF4
SMIM24,0,0.604243334,0.641,0.158,0,0,SMIM24
IGLL1,0,0.582809576,0.384,0.095,0,0,IGLL1
SOX4,0,0.580907418,0.922,0.545,0,0,SOX4
PRSS57,0,0.579475205,0.688,0.31,0,0,PRSS57
GIHCG,0,0.575915955,0.807,0.422,0,0,GIHCG
CDK6,0,0.565119186,0.867,0.468,0,0,CDK6
SPINK2,0,0.538756267,0.559,0.276,0,0,SPINK2
CYTL1,0,0.524555647,0.477,0.071,0,0,CYTL1
ITM2A,0,0.521699947,0.641,0.317,0,0,ITM2A
EGFL7,0,0.502575185,0.571,0.141,0,0,EGFL7
ITM2C,0,0.500354738,0.579,0.171,0,0,ITM2C
IGFBP7,0,0.478950254,0.742,0.413,0,0,IGFBP7
FAM30A,0,0.470473358,0.559,0.167,0,0,FAM30A
NUCB2,0,0.459021027,0.886,0.607,0,0,NUCB2
HPGDS,0,0.458888418,0.41,0.043,0,0,HPGDS
DDAH2,0,0.450508605,0.623,0.228,0,0,DDAH2
MIR181A1HG,0,0.449992992,0.597,0.213,0,0,MIR181A1HG
GNA15,0,0.413772564,0.576,0.198,0,0,GNA15
STMN1,0,0.404415055,0.729,0.374,0,0,STMN1
PDLIM1,0,0.403762275,0.432,0.15,0,0,PDLIM1
SMYD3,0,0.393042457,0.445,0.119,0,0,SMYD3
NPR3,0,0.3922674,0.417,0.078,0,0,NPR3
AREG,0,0.39203345,0.671,0.508,0,0,AREG
CD82,0,0.391272575,0.571,0.231,0,0,CD82
GAS5,0,0.380502165,0.984,0.888,0,0,GAS5
ARMH1,0,0.377146085,0.694,0.407,0,0,ARMH1
MSI2,0,0.376572851,0.605,0.326,0,0,MSI2
RPS4Y1,0,0.375683646,0.705,0.482,0,0,RPS4Y1
ANGPT1,0,0.37179235,0.404,0.106,0,0,ANGPT1
AC244502.1,0,0.368999139,0.334,0.071,0,0,AC244502.1
EBPL,0,0.367698278,0.578,0.246,0,0,EBPL
SEPTIN6,0,0.365878175,0.837,0.556,0,0,SEPTIN6
SERPINB1,0,0.363941964,0.946,0.781,0,0,SERPINB1
TP53INP1,0,0.363680747,0.38,0.135,0,0,TP53INP1
TFPI,0,0.360490265,0.443,0.131,0,0,TFPI
HSH2D,0,0.359439484,0.649,0.328,0,0,HSH2D
SNHG7,0,0.359249613,0.822,0.571,0,0,SNHG7
LAT2,0,0.358060781,0.565,0.257,0,0,LAT2
SYNGR1,0,0.352253264,0.538,0.215,0,0,SYNGR1
PPP1R14B,0,0.35031332,0.696,0.424,0,0,PPP1R14B
H2AFY,0,0.350087379,0.946,0.781,0,0,H2AFY
SNHG29,0,0.34613026,0.993,0.938,0,0,SNHG29
RAMP1,0,0.345749993,0.364,0.058,0,0,RAMP1
CD38,0,0.34508987,0.41,0.123,0,0,CD38
TFDP2,0,0.340347687,0.579,0.24,0,0,TFDP2
LYL1,0,0.33533897,0.602,0.291,0,0,LYL1
GYPC,0,0.333984569,0.823,0.624,0,0,GYPC
TSC22D1,0,0.332701145,0.452,0.192,0,0,TSC22D1
LDHB,0,0.327401562,0.917,0.744,0,0,LDHB
KDM5B,0,0.326137517,0.603,0.308,0,0,KDM5B
TRH,0,0.32561039,0.254,0.033,0,0,TRH
DNAJB6,0,0.324809939,0.87,0.666,0,0,DNAJB6
TXN,0,0.32207051,0.961,0.799,0,0,TXN
HPGD,0,0.322062524,0.26,0.075,0,0,HPGD
CEBPA,0,0.319009813,0.394,0.18,0,0,CEBPA
CD99,0,0.315257275,0.936,0.789,0,0,CD99
HMGN3,0,0.313420062,0.818,0.58,0,0,HMGN3
TPM4,0,0.312995633,0.833,0.651,0,0,TPM4
IMPDH2,0,0.31197097,0.508,0.223,0,0,IMPDH2
LINC02573,0,0.309924022,0.326,0.05,0,0,LINC02573
BAALC,0,0.309066819,0.363,0.084,0,0,BAALC
CLEC11A,0,0.308022127,0.399,0.188,0,0,CLEC11A
HINT1,0,0.30441232,0.984,0.911,0,0,HINT1
APEX1,0,0.303899224,0.725,0.482,0,0,APEX1
