"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","38/292","159/18614",3.08718583003757e-34,9.87282028446015e-31,8.67336734775818e-31,"6176/11224/6194/6175/6191/6146/6222/6224/6202/6229/6228/6168/6143/3921/6137/6188/6173/6136/25873/6161/6181/6189/6157/6122/6167/6171/6201/4736/6160/6129/4904/23521/6209/6218/6170/6223/3184/5315",38
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","26/292","244/18614",1.38730111758957e-14,1.44303595026673e-11,1.26772092796876e-11,"2023/2597/204/402/4831/93974/4718/521/517/516/5901/7167/51079/518/10632/522/5223/4830/4715/3939/706/506/9551/4717/2821/5315",26
"GO:0006119","GO:0006119","oxidative phosphorylation","21/292","148/18614",1.729615735298e-14,1.44303595026673e-11,1.26772092796876e-11,"6622/1345/4718/1351/521/7388/1329/51142/51079/9377/1347/10632/522/27089/1337/4715/29796/7386/506/9551/4717",21
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","27/292","269/18614",1.85616815394064e-14,1.44303595026673e-11,1.26772092796876e-11,"2023/2597/204/402/4831/93974/4718/521/517/1854/516/5901/7167/51079/518/10632/522/5223/4830/4715/3939/706/506/9551/4717/2821/5315",27
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","26/292","249/18614",2.25615376839701e-14,1.44303595026673e-11,1.26772092796876e-11,"2023/2597/204/402/4831/93974/4718/521/517/516/5901/7167/51079/518/10632/522/5223/4830/4715/3939/706/506/9551/4717/2821/5315",26
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process","26/292","251/18614",2.73159928980724e-14,1.45594242146726e-11,1.2790593867536e-11,"2023/2597/204/402/4831/93974/4718/521/517/516/5901/7167/51079/518/10632/522/5223/4830/4715/3939/706/506/9551/4717/2821/5315",26
"GO:0009060","GO:0009060","aerobic respiration","23/292","196/18614",6.18936920057904e-14,2.82765752906454e-11,2.48412427012714e-11,"6622/847/402/1345/4718/1351/521/7388/1329/51142/51079/9377/1347/10632/522/27089/1337/4715/29796/7386/506/9551/4717",23
"GO:0046034","GO:0046034","ATP metabolic process","23/292","219/18614",6.65871269877889e-13,2.66182040133686e-10,2.33843476224222e-10,"2023/2597/204/402/93974/4718/521/517/516/7167/51079/518/10632/522/5223/4715/3939/706/506/9551/4717/2821/5315",23
"GO:0045333","GO:0045333","cellular respiration","24/292","243/18614",7.94131565332063e-13,2.8218141621466e-10,2.47899081622372e-10,"6622/847/402/1345/4718/1351/521/7388/1329/51142/51079/9377/1347/10632/522/27089/1337/4715/29796/7386/506/9551/4717/2109",24
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","15/292","102/18614",6.14175116134851e-11,1.78557456490841e-08,1.56864438752528e-08,"6622/1345/4718/1351/7388/1329/51142/9377/1347/27089/1337/4715/29796/7386/4717",15
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","15/292","102/18614",6.14175116134851e-11,1.78557456490841e-08,1.56864438752528e-08,"6622/1345/4718/1351/7388/1329/51142/9377/1347/27089/1337/4715/29796/7386/4717",15
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","30/292","475/18614",1.00310556451103e-10,2.60711686157237e-08,2.2903771776889e-08,"11224/6194/6175/6202/6229/3921/6633/6201/6636/6129/51065/4869/23521/6209/5901/6632/6218/6635/2971/6637/401466/57819/6223/708/3326/5036/6631/51504/6628/10772",30
"GO:0022904","GO:0022904","respiratory electron transport chain","16/292","124/18614",1.05980360226519e-10,2.60711686157237e-08,2.2903771776889e-08,"6622/1345/4718/1351/7388/1329/51142/9377/1347/27089/1337/4715/29796/7386/4717/2109",16
"GO:0019646","GO:0019646","aerobic electron transport chain","14/292","94/18614",2.26837623586194e-10,5.18161943020463e-08,4.55210238610189e-08,"6622/1345/4718/1351/7388/1329/9377/1347/27089/1337/4715/29796/7386/4717",14
"GO:0009259","GO:0009259","ribonucleotide metabolic process","29/292","464/18614",2.68188922509961e-10,5.71778782791237e-08,5.02313146792341e-08,"2023/2597/204/6622/402/4831/93974/4718/521/517/516/5901/7167/51079/518/3094/79621/10632/522/5223/4830/4715/3939/706/506/9551/4717/2821/5315",29
"GO:0019693","GO:0019693","ribose phosphate metabolic process","29/292","473/18614",4.20055465164546e-10,8.39585860997637e-08,7.37584234555378e-08,"2023/2597/204/6622/402/4831/93974/4718/521/517/516/5901/7167/51079/518/3094/79621/10632/522/5223/4830/4715/3939/706/506/9551/4717/2821/5315",29
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","15/292","117/18614",4.50330152038757e-10,8.47015448290025e-08,7.44111198277238e-08,"2023/4831/4718/521/517/516/51079/518/10632/522/4830/4715/506/9551/4717",15
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","28/292","445/18614",4.76744154759864e-10,8.47015448290025e-08,7.44111198277238e-08,"2023/2597/204/6622/402/4831/93974/4718/521/517/516/5901/7167/51079/518/3094/10632/522/5223/4830/4715/3939/706/506/9551/4717/2821/5315",28
