"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001819","GO:0001819","positive regulation of cytokine production","62/462","489/18614",1.33777985826779e-26,6.25010749782711e-23,4.24709900266911e-23,"7057/3553/6348/929/2219/2069/120892/4332/1545/6556/1536/728/948/64581/114548/1051/7097/26253/1604/3091/9308/11213/7099/5142/5788/7305/301/2268/4671/6868/54502/5724/7805/55959/3459/23643/2207/10288/23765/57162/3105/5743/10159/150372/353514/55122/920/8767/3572/834/4179/602/4860/6772/7124/3659/5008/28984/1654/5610/1958/9636",62
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","53/462","450/18614",2.57124866284541e-21,6.00643687640689e-18,4.08151893007462e-18,"929/1520/2219/4792/4332/728/64332/2357/948/64581/114548/7128/7097/26253/3958/11213/7099/2533/5142/5788/7305/4814/9958/51296/2268/4671/1378/1512/7805/23643/409/2207/9473/10288/4067/57162/3105/3055/150372/5359/4214/8767/2534/5621/27342/3937/834/2885/51324/2209/7124/3659/1654",53
"GO:0031349","GO:0031349","positive regulation of defense response","52/462","441/18614",5.96680991324157e-21,9.29231197155486e-18,6.31435042046897e-18,"6283/6280/6279/3553/283131/6348/929/1520/2219/2069/4792/120892/4332/64332/948/64581/114548/7128/1051/7097/26253/11213/7099/2896/7305/4814/9958/3949/51296/4671/54502/23643/409/4067/23765/57162/3055/5743/5359/353514/55122/84034/8767/2534/3572/834/2209/7124/3659/5008/1654/241",52
"GO:0002757","GO:0002757","immune response-activating signaling pathway","49/462","423/18614",1.85040065075126e-19,1.86143845781931e-16,1.26489239112812e-16,"929/1520/2219/4792/4332/728/64332/2357/948/64581/114548/7128/7097/26253/3958/11213/7099/2533/5142/5788/7305/4814/9958/51296/2268/4671/1378/7805/23643/409/2207/9473/4067/57162/3105/3055/150372/5359/8767/2534/5621/27342/3937/834/2885/51324/7124/3659/1654",49
"GO:0002253","GO:0002253","activation of immune response","53/462","495/18614",1.99212163722101e-19,1.86143845781931e-16,1.26489239112812e-16,"3553/929/1520/2219/4792/4332/728/64332/2357/948/64581/114548/7128/7097/26253/3958/1604/11213/7099/2533/5142/5788/7305/4814/9958/51296/2268/4671/1378/7805/23643/409/2207/9473/4067/57162/3105/3055/150372/5359/8767/2534/5621/27342/3937/834/2885/51324/4179/7124/3659/28984/1654",53
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","51/462","463/18614",2.9363858369419e-19,2.28646577169876e-16,1.55370871652926e-16,"3553/929/1520/2219/2069/653361/4792/4332/64332/948/64581/114548/7128/196/10221/10875/7097/26253/1604/11213/7099/2896/7305/4814/9958/51296/2268/4671/54502/1378/114769/23643/409/4067/57162/3105/3055/5359/54625/55122/84034/8767/2534/834/5272/6772/7124/10475/3659/1654/9636",51
"GO:0071216","GO:0071216","cellular response to biotic stimulus","37/462","264/18614",1.15052590905024e-17,6.86496700390916e-15,4.66491088765997e-15,"3576/3553/6348/929/2920/4792/64332/948/64581/114548/7128/10221/1051/7097/1604/978/7099/5142/7538/84919/968/5724/114769/23643/10288/7133/706/4067/3055/10018/140885/8767/834/4853/5606/7124/3309",37
"GO:0032496","GO:0032496","response to lipopolysaccharide","42/462","345/18614",1.32071447785621e-17,6.86496700390916e-15,4.66491088765997e-15,"6280/6279/3576/3553/6648/6348/929/2920/4792/6556/64332/948/114548/7128/10221/1051/7097/1604/11213/7099/5142/7538/968/6868/5724/114769/23643/10288/7133/706/4067/57162/3055/5743/3587/140885/55122/8767/834/2353/5606/7124",42
"GO:0050727","GO:0050727","regulation of inflammatory response","46/462","414/18614",1.3224465546914e-17,6.86496700390916e-15,4.66491088765997e-15,"6283/6280/6279/3553/283131/6348/8870/653361/4792/120892/64332/114548/7128/1051/7097/604/683/9314/7099/7538/5788/2896/301/4814/3949/2268/4671/114769/240/7133/4067/23765/3055/5743/353514/313/140885/2534/27342/3572/834/2209/7124/5008/241/9021",46
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","50/462","492/18614",2.02155506457594e-17,8.60316733284361e-15,5.84605999365905e-15,"3576/3553/6349/6348/2920/2069/4792/1441/64332/7128/2180/3557/1230/3091/11213/960/3460/2309/5788/10673/4671/6868/54502/7805/114769/3459/2207/10288/7133/4067/23765/3055/5566/353514/54625/920/64343/8767/27342/3572/834/10010/6772/7124/3659/5008/4599/1958/6351/9636",50
