,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0001819,GO:0001819,positive regulation of cytokine production,62/462,489/18614,1.34E-26,6.25E-23,4.25E-23,7057/3553/6348/929/2219/2069/120892/4332/1545/6556/1536/728/948/64581/114548/1051/7097/26253/1604/3091/9308/11213/7099/5142/5788/7305/301/2268/4671/6868/54502/5724/7805/55959/3459/23643/2207/10288/23765/57162/3105/5743/10159/150372/353514/55122/920/8767/3572/834/4179/602/4860/6772/7124/3659/5008/28984/1654/5610/1958/9636,62
GO:0002253,GO:0002253,activation of immune response,53/462,495/18614,1.99E-19,1.86E-16,1.26E-16,3553/929/1520/2219/4792/4332/728/64332/2357/948/64581/114548/7128/7097/26253/3958/1604/11213/7099/2533/5142/5788/7305/4814/9958/51296/2268/4671/1378/7805/23643/409/2207/9473/4067/57162/3105/3055/150372/5359/8767/2534/5621/27342/3937/834/2885/51324/4179/7124/3659/28984/1654,53
GO:0050727,GO:0050727,regulation of inflammatory response,46/462,414/18614,1.32E-17,6.86E-15,4.66E-15,6283/6280/6279/3553/283131/6348/8870/653361/4792/120892/64332/114548/7128/1051/7097/604/683/9314/7099/7538/5788/2896/301/4814/3949/2268/4671/114769/240/7133/4067/23765/3055/5743/353514/313/140885/2534/27342/3572/834/2209/7124/5008/241/9021,46
GO:0043410,GO:0043410,positive regulation of MAPK cascade,40/462,495/18614,5.73E-11,3.72E-09,2.53E-09,6283/7057/3553/6349/6348/653361/120892/728/948/1230/6386/7099/960/5788/152007/4671/7805/409/8826/1499/7422/353514/3383/8837/9770/920/8767/79930/11214/5908/4853/4215/5606/7124/9043/5008/5610/6351/4616/3725,40
GO:0060326,GO:0060326,cell chemotaxis,35/462,312/18614,8.87E-14,1.38E-11,9.39E-12,6283/6280/6279/7057/3576/3553/6349/6348/2920/1441/728/54210/1230/3958/683/5142/1843/301/4814/6868/120425/409/2207/240/3689/4067/23765/7422/5025/5339/1130/1839/158747/102/6351,35
GO:0050863,GO:0050863,regulation of T cell activation,33/462,377/18614,3.83E-10,2.04E-08,1.38E-08,3553/64332/114548/10875/1051/604/3958/1604/9308/2309/5788/301/10673/1378/7805/10326/10288/7133/4067/57162/3105/1499/64115/6604/140885/920/8767/2534/5621/3572/4179/4860/3659,33
GO:0002263,GO:0002263,cell activation involved in immune response,31/462,300/18614,2.07E-11,1.51E-09,1.03E-09,6348/6556/64332/114548/10875/26253/604/3958/6813/7099/4035/5788/2896/7305/301/3684/2268/1378/5724/3936/2207/3689/4067/3383/5873/8767/27342/4179/602/4853/7124,31
GO:0001667,GO:0001667,ameboidal-type cell migration,30/462,496/18614,7.26E-06,0.000123823,8.41E-05,6283/6280/7057/1545/9839/9314/3091/7763/8660/2896/301/152007/6868/1512/8826/5743/9922/7422/5025/5339/1839/9448/6546/2752/4215/5606/7124/28984/388/3725,30
GO:0007249,GO:0007249,I-kappaB kinase/NF-kappaB signaling,26/462,293/18614,2.20E-08,7.52E-07,5.11E-07,6283/3553/4792/948/64581/7128/7097/7099/114769/4791/57162/1499/8837/140885/920/64343/8767/11214/2534/834/602/10010/4215/6772/7124/10475,26
GO:0070371,GO:0070371,ERK1 and ERK2 cascade,25/462,341/18614,1.53E-06,3.17E-05,2.16E-05,3553/6349/6348/1848/728/948/677/1230/7099/960/5788/152007/1512/409/4067/3383/8837/140885/920/8767/5908/4853/7124/6351/3725,25
