"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007015","GO:0007015","actin filament organization","57/578","442/18614",4.67384029954319e-20,2.15978160241891e-16,1.64273186949207e-16,"389/23406/199/9788/7114/10109/5216/7408/10094/136319/387/10163/51466/26999/3055/10092/7170/832/11151/65108/29108/3059/1072/391/998/408/80774/54509/961/9168/11034/51429/8477/10095/2059/64005/6840/9647/23616/116985/9948/10456/5880/6050/23075/9535/203228/29766/57175/10096/5058/10093/2316/5734/829/85464/7430",57
"GO:0110053","GO:0110053","regulation of actin filament organization","43/578","268/18614",5.81192691762047e-19,1.34284571431621e-15,1.0213696830492e-15,"389/23406/9788/7114/10109/5216/7408/10094/136319/387/10163/51466/26999/3055/10092/832/11151/29108/3059/998/961/9168/11034/51429/8477/2059/6840/9647/23616/116985/9948/10456/6050/23075/9535/203228/29766/57175/5058/2316/5734/829/85464",43
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","48/578","346/18614",2.39101446482526e-18,3.68295928065251e-15,2.80126220984265e-15,"389/23406/9788/1436/51225/7114/10109/5216/7408/10094/136319/387/10163/51466/26999/3055/10092/832/11151/29108/3059/391/998/397/961/9168/11034/51429/8477/2059/6840/9647/23616/116985/9948/10456/6050/23075/9535/203228/29766/57175/5058/4853/2316/5734/829/85464",48
"GO:0032970","GO:0032970","regulation of actin filament-based process","50/578","387/18614",9.60789977802018e-18,1.10995262185578e-14,8.44230983126563e-15,"389/23406/9788/1436/51225/7114/10109/5216/7408/10094/136319/387/10163/51466/26999/3055/10092/832/11151/29108/3059/391/998/397/961/9168/11034/51429/8477/2059/6717/6840/9647/23616/116985/9948/10456/6050/23075/9535/203228/29766/57175/5058/4853/2316/5734/829/58527/85464",50
"GO:0002683","GO:0002683","negative regulation of immune system process","56/578","487/18614",2.10446869153429e-17,1.94494996471599e-14,1.47933072863853e-14,"7940/10288/4067/3162/10859/6223/100/55824/1524/6688/3133/4938/6693/7305/6397/11314/5585/3055/968/9935/1051/2633/5788/3965/9636/27202/83593/64115/5777/5795/864/8764/961/3106/3134/10875/79890/942/146722/409/374403/695/2268/5914/4940/2874/7124/55829/11027/3958/3123/5734/64092/8780/9750/7430",56
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","51/578","450/18614",1.12059620591706e-15,8.63045844590454e-13,6.56433461676677e-13,"2214/10288/2207/4067/10859/974/100/4938/7867/1445/728/388325/7305/6397/11314/1520/118788/3055/2633/5788/4615/29108/27202/5777/834/5795/961/330/23180/64005/146722/3115/64581/409/719/81622/695/2268/148022/2219/4940/4214/2874/4814/7124/11027/5058/3958/3123/8780/7430",51
"GO:0050900","GO:0050900","leukocyte migration","47/578","393/18614",1.99917750645492e-15,1.31974275104689e-12,1.00379754797789e-12,"199/2207/4067/1436/3162/6223/5175/100/58191/1524/6688/728/6693/4478/387/3683/11314/6404/3055/3676/3965/4615/30817/11151/29108/27202/998/8764/961/3688/2059/79890/6793/64005/9435/719/1130/9948/5880/23075/4814/7124/63940/3958/5734/58515/9750",47
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","48/578","415/18614",3.67808211813711e-15,2.12455218348895e-12,1.61593634111313e-12,"199/10288/4067/10859/567/5175/100/55824/1524/3133/3280/1445/3113/6693/60/4478/387/3683/11314/6404/1051/3676/5788/3965/11151/29108/64115/5777/864/8764/961/3688/10875/6793/942/9435/9308/3115/5880/5914/7124/920/3958/3123/58515/9750/7430/3127",48
"GO:0002366","GO:0002366","leukocyte activation involved in immune response","40/578","296/18614",4.38756091645847e-15,2.25276877721718e-12,1.71345800000641e-12,"2214/2207/4067/3162/10859/100/1524/6688/3955/6693/7305/3683/11314/6813/5788/3965/4615/30817/3726/11151/29108/5777/3134/10875/942/1794/8773/695/2268/148022/867/5880/23075/5914/7124/11027/4853/3958/3123/5734",40
"GO:0002263","GO:0002263","cell activation involved in immune response","40/578","300/18614",6.94951621104249e-15,3.11841138852117e-12,2.37186656482925e-12,"2214/2207/4067/3162/10859/100/1524/6688/3955/6693/7305/3683/11314/6813/5788/3965/4615/30817/3726/11151/29108/5777/3134/10875/942/1794/8773/695/2268/148022/867/5880/23075/5914/7124/11027/4853/3958/3123/5734",40
