"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A12",0,1.61921608219197,0.954,0.614,0,"0","S100A12"
"S100A9",0,1.6015985690916,0.999,0.89,0,"0","S100A9"
"S100A8",0,1.59177779698368,0.998,0.859,0,"0","S100A8"
"THBS1",0,1.55064831626983,0.635,0.353,0,"0","THBS1"
"CXCL8",0,1.48492904078176,0.966,0.817,0,"0","CXCL8"
"VCAN",0,1.44598754117159,0.982,0.73,0,"0","VCAN"
"IL1B",0,1.40469070593789,0.914,0.678,0,"0","IL1B"
"NEAT1",0,1.2668721758285,1,0.986,0,"0","NEAT1"
"CCL3L1",0,1.26362979005519,0.843,0.629,0,"0","CCL3L1"
"SOD2",0,1.25496881470704,0.99,0.85,0,"0","SOD2"
"CCL3",0,1.24804267316623,0.882,0.687,0,"0","CCL3"
"NAMPT",0,1.24728236977494,0.989,0.839,0,"0","NAMPT"
"CD14",0,1.21997886285708,0.924,0.535,0,"0","CD14"
"IER3",0,1.19805456417382,0.909,0.665,0,"0","IER3"
"LUCAT1",0,1.1903021983228,0.673,0.355,0,"0","LUCAT1"
"CTSS",0,1.15121660925886,0.998,0.946,0,"0","CTSS"
"FCN1",0,1.1353787554145,0.963,0.729,0,"0","FCN1"
"CXCL2",0,1.1350060982633,0.697,0.509,0,"0","CXCL2"
"EREG",0,1.12361670167648,0.772,0.589,0,"0","EREG"
"DUSP6",0,1.04719769914142,0.93,0.748,0,"0","DUSP6"
"NCF1",0,1.04182555280103,0.935,0.705,0,"0","NCF1"
"G0S2",0,1.0389994546172,0.799,0.595,0,"0","G0S2"
"NFKBIA",0,1.0007870396493,0.998,0.972,0,"0","NFKBIA"
"BCL2A1",0,0.988078929167605,0.929,0.643,0,"0","BCL2A1"
"MAFB",0,0.982674098159933,0.869,0.595,0,"0","MAFB"
"LRRK2",0,0.974251106408406,0.648,0.329,0,"0","LRRK2"
"ATP2B1-AS1",0,0.963969625661508,0.989,0.895,0,"0","ATP2B1-AS1"
"MNDA",0,0.954890915311901,0.986,0.855,0,"0","MNDA"
"PLBD1",0,0.942744540403946,0.707,0.407,0,"0","PLBD1"
"CYP1B1",0,0.938139641778483,0.46,0.169,0,"0","CYP1B1"
"SLC11A1",0,0.925050888493374,0.832,0.511,0,"0","SLC11A1"
"CSF3R",0,0.920976519341888,0.918,0.683,0,"0","CSF3R"
"CYBB",0,0.905026604098687,0.956,0.739,0,"0","CYBB"
"C5AR1",0,0.900673060121081,0.902,0.576,0,"0","C5AR1"
"NFKBIZ",0,0.899302448945658,0.974,0.847,0,"0","NFKBIZ"
"RBP7",0,0.895525610650347,0.539,0.217,0,"0","RBP7"
"PLAUR",0,0.893777760324293,0.956,0.796,0,"0","PLAUR"
"FPR1",0,0.882289185364974,0.804,0.48,0,"0","FPR1"
"SAT1",0,0.853266246190177,0.999,0.979,0,"0","SAT1"
"CD36",0,0.852938887205547,0.847,0.59,0,"0","CD36"
"MARCKS",0,0.85258007748818,0.932,0.746,0,"0","MARCKS"
"SGK1",0,0.847933857325441,0.923,0.735,0,"0","SGK1"
"SLC2A3",0,0.844326796235496,0.872,0.696,0,"0","SLC2A3"
"CLEC7A",0,0.826724390742402,0.894,0.61,0,"0","CLEC7A"
"NLRP3",0,0.823311428818062,0.783,0.541,0,"0","NLRP3"
"ZFP36L1",0,0.817079662827364,0.782,0.586,0,"0","ZFP36L1"
"MEGF9",0,0.807859928515669,0.718,0.457,0,"0","MEGF9"
"TNFAIP3",0,0.795569373169617,0.972,0.819,0,"0","TNFAIP3"
"AHR",0,0.784452792979524,0.893,0.756,0,"0","AHR"
"FCAR",0,0.780162980213692,0.521,0.179,0,"0","FCAR"
"ZEB2",0,0.779064717410001,0.989,0.917,0,"0","ZEB2"
"AC020916.1",0,0.77802818925621,0.987,0.928,0,"0","AC020916.1"
"TREM1",0,0.770034386733614,0.831,0.573,0,"0","TREM1"
"PLEK",0,0.764912556733741,0.987,0.929,0,"0","PLEK"
"CKAP4",0,0.759889240870112,0.573,0.267,0,"0","CKAP4"
"PSAP",0,0.758437283818732,0.996,0.911,0,"0","PSAP"
"ACSL1",0,0.745777724949115,0.645,0.348,0,"0","ACSL1"
"DMXL2",0,0.74295429482242,0.788,0.535,0,"0","DMXL2"
"SERPINA1",0,0.742917052057997,0.954,0.661,0,"0","SERPINA1"
"FCGR2A",0,0.734401048431609,0.778,0.51,0,"0","FCGR2A"
"AC253572.2",0,0.729402936114415,0.701,0.527,0,"0","AC253572.2"
"AQP9",0,0.717056621004659,0.431,0.137,0,"0","AQP9"
"CD93",0,0.713063837704424,0.642,0.372,0,"0","CD93"
"TRIB1",0,0.712689539570836,0.887,0.726,0,"0","TRIB1"
"FGL2",0,0.711284590208822,0.939,0.758,0,"0","FGL2"
"TMEM176A",0,0.710333904905951,0.595,0.34,0,"0","TMEM176A"
"CTSD",0,0.708620681738802,0.969,0.827,0,"0","CTSD"
"MXD1",0,0.705996119261222,0.89,0.725,0,"0","MXD1"
"APOBEC3A",0,0.699817809633728,0.583,0.306,0,"0","APOBEC3A"
"PTPRE",0,0.693332268489935,0.946,0.811,0,"0","PTPRE"
"NCF2",0,0.687213264715294,0.933,0.737,0,"0","NCF2"
"GPCPD1",0,0.68545071912485,0.864,0.674,0,"0","GPCPD1"
"TMEM176B",0,0.683058516039963,0.732,0.508,0,"0","TMEM176B"
"CEBPB",0,0.677037376613263,0.948,0.816,0,"0","CEBPB"
"IL1RN",0,0.675852894000922,0.474,0.251,0,"0","IL1RN"
"SELL",0,0.67547890570412,0.777,0.61,0,"0","SELL"
"CLEC12A",0,0.674224864174753,0.917,0.739,0,"0","CLEC12A"
"TLR2",0,0.671846261688206,0.643,0.37,0,"0","TLR2"
"CCR1",0,0.671514650012334,0.527,0.254,0,"0","CCR1"
"CLEC4E",0,0.667809741709901,0.455,0.154,0,"0","CLEC4E"
"AP1S2",0,0.663985695994234,0.972,0.86,0,"0","AP1S2"
"AC007952.4",0,0.660853239471811,0.731,0.553,0,"0","AC007952.4"
"VMP1",0,0.659050220596592,0.897,0.771,0,"0","VMP1"
"RGS2",0,0.657569648024038,0.916,0.763,0,"0","RGS2"
"BCL6",0,0.656501663026363,0.711,0.48,0,"0","BCL6"
"MPEG1",0,0.655015870142826,0.886,0.68,0,"0","MPEG1"
"LGALS3",0,0.654047252928527,0.963,0.779,0,"0","LGALS3"
"APLP2",0,0.653951670113938,0.979,0.898,0,"0","APLP2"
"CD55",0,0.652962680412718,0.88,0.706,0,"0","CD55"
"TMEM170B",0,0.652213636129462,0.69,0.438,0,"0","TMEM170B"
"PPIF",0,0.645206081200937,0.771,0.612,0,"0","PPIF"
"LYZ",0,0.639951373541424,1,0.962,0,"0","LYZ"
"STXBP2",0,0.636696814373197,0.886,0.732,0,"0","STXBP2"
"TYMP",0,0.633057372465792,0.976,0.839,0,"0","TYMP"
"BST1",0,0.631536845234768,0.666,0.424,0,"0","BST1"
"FOSB",0,0.630422132817206,0.997,0.986,0,"0","FOSB"
"STX11",0,0.627431563902576,0.923,0.738,0,"0","STX11"
"KLF4",0,0.626951010968392,0.95,0.832,0,"0","KLF4"
"CDA",0,0.618413102482528,0.67,0.394,0,"0","CDA"
"SDCBP",0,0.615012106882469,0.93,0.781,0,"0","SDCBP"
"LILRB3",0,0.613697457740514,0.72,0.461,0,"0","LILRB3"
"ADA2",0,0.613019378163457,0.799,0.582,0,"0","ADA2"
"PHACTR1",0,0.611470014650999,0.811,0.68,0,"0","PHACTR1"
"SLC24A4",0,0.597716465961385,0.487,0.219,0,"0","SLC24A4"
"BTG1",0,0.597541823469144,0.998,0.958,0,"0","BTG1"
"SULT1A1",0,0.590882460144379,0.747,0.541,0,"0","SULT1A1"
"HIF1A",0,0.590794596885669,0.86,0.738,0,"0","HIF1A"
"EAF1",0,0.583929119808179,0.618,0.377,0,"0","EAF1"
"CAST",0,0.583758659816874,0.972,0.847,0,"0","CAST"
"EVI2B",0,0.579943387907264,0.981,0.906,0,"0","EVI2B"
"QPCT",0,0.579904499196368,0.398,0.127,0,"0","QPCT"
"CDKN1A",0,0.579290163424229,0.729,0.562,0,"0","CDKN1A"
"GASK1B",0,0.578743409064476,0.482,0.225,0,"0","GASK1B"
"CDC42EP3",0,0.577876702992334,0.788,0.59,0,"0","CDC42EP3"
"CCNL1",0,0.575472500512495,0.969,0.927,0,"0","CCNL1"
"SLC25A37",0,0.572938681547921,0.726,0.551,0,"0","SLC25A37"
"CD83",0,0.572603137258294,0.907,0.766,0,"0","CD83"
"PNRC1",0,0.572574897487875,0.998,0.99,0,"0","PNRC1"
"CD300E",0,0.571661752925597,0.524,0.304,0,"0","CD300E"
"ZFAND5",0,0.570483018605192,0.964,0.869,0,"0","ZFAND5"
"TNFAIP2",0,0.569629935737545,0.847,0.656,0,"0","TNFAIP2"
"IRAK3",0,0.568004849195956,0.784,0.611,0,"0","IRAK3"
"VNN2",0,0.565909581300576,0.395,0.146,0,"0","VNN2"
"DPYD",0,0.565714177196954,0.607,0.348,0,"0","DPYD"
"S100A11",0,0.565109145148354,0.999,0.958,0,"0","S100A11"
"TLR4",0,0.563532901889452,0.541,0.289,0,"0","TLR4"
"KDM6B",0,0.562900888449615,0.769,0.595,0,"0","KDM6B"
"CD44",0,0.562834286419692,0.995,0.96,0,"0","CD44"
"S100A6",0,0.559592494495035,1,0.98,0,"0","S100A6"
"RETN",0,0.558827219767811,0.776,0.554,0,"0","RETN"
"JMJD1C",0,0.558130449216462,0.891,0.802,0,"0","JMJD1C"
"IRS2",0,0.549689768868535,0.823,0.666,0,"0","IRS2"
"EVI2A",0,0.549574126412878,0.778,0.596,0,"0","EVI2A"
"IFNGR2",0,0.545966498695914,0.757,0.544,0,"0","IFNGR2"
"FYB1",0,0.542002361366083,0.954,0.861,0,"0","FYB1"
"IGSF6",0,0.541234563906023,0.866,0.69,0,"0","IGSF6"
"BRI3",0,0.540515411750024,0.994,0.947,0,"0","BRI3"
