"","Gene_Clusters"
"DDIT3","1"
"SF1","2"
"TMPO","3"
"CD24","2"
"UBQLN1","1"
"AC245060.5","2"
"SLC14A1","2"
"RBM12","2"
"EIF4EBP1","3"
"SOD2","1"
"HOXC4","2"
"AC141424.1","2"
"SLC26A11","1"
"SCGB3A1","3"
"PVR","2"
"SPNS2","2"
"CLEC4A","3"
"NECAP1","1"
"NUB1","3"
"WDR86-AS1","3"
"PRPS2","3"
"LINC01002","2"
"PCM1","2"
"GLIPR2","3"
"FXYD5","3"
"SIGLEC5","3"
"AC018755.4","3"
"ADGRG5","2"
"COX6A1","3"
"RASSF8-AS1","2"
"HK1","3"
"RTF2","3"
"RNF19A","2"
"AC093627.5","2"
"ADGRG3","2"
"HMGA2","1"
"CCL7","3"
"AP2A1","1"
"IFNG","2"
"IRF3","2"
"GPT2","2"
"MT-CO1","2"
"AP001350.1","1"
"PLK2","2"
"RHEB","3"
"AC010173.1","1"
"BX890604.2","2"
"AL132639.2","2"
"AF230666.1","2"
"CREBBP","1"
"ADGRE3","3"
"C21orf58","2"
"HIST1H3A","2"
"TRH","2"
"AC008982.2","2"
"RHOH","2"
"TNFSF15","1"
"FIZ1","2"
"SUPT4H1","3"
"AP002954.1","3"
"AC009318.3","1"
"ATP13A3","1"
"CEP76","2"
"HDGFL2","3"
"ZADH2","1"
"MS4A1","3"
"ZFAND6","1"
"AKAP10","2"
"AL450998.2","2"
"TUBA1A","2"
"GRIN2D","1"
"RBP7","3"
"APBB1IP","3"
"KANSL2","2"
"SPART-AS1","2"
"LINC02449","2"
"SLC38A1","2"
"ARHGAP5","2"
"ZNF175","2"
"SRGN","3"
"STX16","2"
"GNAQ","1"
"AC073389.1","2"
"AC007613.1","2"
"SPOCK2","2"
"AL110115.1","1"
"ELF1","1"
"GSE1","2"
"AC123777.1","2"
"PRKCSH","3"
"LAT","1"
"TMPO-AS1","3"
"AC087239.1","2"
"ATF5","3"
"HIST4H4","2"
"AC245452.1","1"
"NT5C","3"
"CCL2","3"
"SCAF1","2"
"RUVBL2","3"
"IFIT1B","2"
"SIGLEC10","3"
"ZNF830","2"
"DNM1L","2"
"CAPZA2","3"
"ZNF107","2"
"NMT1","3"
"CHCHD10","3"
"OBSL1","2"
"PRDX2","3"
"SASH1","1"
"RNASE4","3"
"PCF11","2"
"DSTN","3"
"COPB1","1"
"SPACA6","2"
"ZNF251","2"
"DNAJC27","2"
"GATA2-AS1","2"
"AC119674.1","2"
"CEP85L","1"
"RCCD1","2"
"RFWD3","2"
"AL133476.1","2"
"SELENOW","3"
"CLDND2","2"
"NAA40","2"
"AZIN1","1"
"PAXBP1","2"
"CENPL","2"
"CD2BP2","3"
"FUZ","2"
"LIN7A","1"
"BEND6","2"
"NEURL1","3"
"PUF60","3"
"NFIC","2"
"TAX1BP1","3"
"PANX2","2"
"ACAD11","2"
"CCDC186","1"
"AKR1C3","2"
"ZNF783","2"
"ZNF407","2"
"RNASE1","3"
"SLC25A15","2"
"OLMALINC","1"
"SCIMP","3"
"HERPUD1","1"
"RALBP1","3"
"NPIPB4","1"
"IL4I1","3"
"BMP2","2"
"ACRBP","3"
"HMGN3-AS1","2"
"SNU13","3"
"PAFAH1B1","2"
"SLC38A2","2"
"GZMB","2"
"RPL13A","3"
"RPL13","3"
"MS4A14","1"
"LENG8","2"
"C14orf119","3"
"CCL23","3"
"KPNA2","2"
"C19orf48","2"
"CCL4","3"
"PHF11","3"
"RPS11","3"
"SEC61A2","2"
"PIH1D1","3"
"AC016876.1","3"
"PDCD2","3"
"MACC1","2"
"AL512603.2","2"
"CHMP6","3"
"KCNJ14","2"
"AC025265.1","2"
"CLTA","3"
"COQ9","3"
"SLITRK6","1"
"CTU1","3"
"AC080038.1","2"
"SNHG10","2"
"ULK1","1"
"ZMIZ1","1"
"TNNT1","1"
"AC009248.2","1"
"LINC01515","2"
"ZDHHC21","2"
"AL158832.2","1"
