"","Gene_Clusters"
"DDIT3","1"
"PGM5","2"
"SF1","1"
"TMPO","3"
"CD24","1"
"UBQLN1","2"
"AC245060.5","1"
"SLC14A1","1"
"RBM12","1"
"EIF4EBP1","3"
"SOD2","3"
"HOXC4","1"
"AC141424.1","1"
"SLC26A11","2"
"SCGB3A1","3"
"PVR","1"
"SPNS2","1"
"CLEC4A","3"
"NECAP1","1"
"NUB1","2"
"WDR86-AS1","3"
"WDR86","3"
"PRPS2","3"
"LINC01002","1"
"PCM1","1"
"GLIPR2","3"
"ADGRG5","1"
"FXYD5","3"
"AL627230.1","1"
"RASSF8-AS1","1"
"HK1","3"
"COX6A1","3"
"RNF19A","1"
"HMGA2","2"
"AP2A1","2"
"AC093627.5","1"
"ZRSR2","2"
"CCL7","3"
"ADGRG3","1"
"DDIT4-AS1","3"
"GPT2","1"
"IRF3","1"
"TROAP","1"
"MT-CO1","1"
"CREBBP","2"
"ADGRE3","3"
"PLK2","1"
"AF230666.1","1"
"AL021368.2","1"
"AC010173.1","1"
"AP001350.1","2"
"BX890604.2","1"
"AL132639.2","1"
"C21orf58","1"
"EPN1","2"
"HIST1H3A","1"
"TRH","1"
"FIZ1","1"
"SETBP1","1"
"RHOH","1"
"TNFSF15","2"
"ATP13A3","1"
"SUPT4H1","3"
"AL450998.2","1"
"CEP76","1"
"AC009318.3","1"
"AC008982.2","1"
"HDGFL2","3"
"ZFAND6","2"
"AKAP10","1"
"AP002954.1","3"
"GNAQ","2"
"TUBA1A","1"
"FMNL3","2"
"FCER2","3"
"CAPN15","1"
"SSPN","3"
"GRIN2D","2"
"RBP7","2"
"SLC38A1","1"
"APBB1IP","3"
"SPART-AS1","1"
"STX16","1"
"LINC02449","1"
"KANSL2","1"
"SRGN","3"
"SPOCK2","1"
"AC007613.1","1"
"ELF1","2"
"PRKCSH","3"
"GSE1","1"
"AL110115.1","2"
"AC073389.1","1"
"ZNF175","1"
"LAT","1"
"TMPO-AS1","3"
"HIST4H4","1"
"AC087239.1","1"
