"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0006260"	"GO:0006260"	"DNA replication"	"33/695"	"274/18670"	2.9580516698861e-09	1.42725993072005e-05	1.3426440842683e-05	"ZNF830/RFWD3/NFIC/DDX11/POLE3/ATM/GEN1/RECQL4/CCNE1/PCLAF/DNAJC2/POLD2/PRIMPOL/NBN/RBBP6/SETMAR/ATAD5/GINS4/ATRX/PNKP/TSPYL2/RBBP7/RBM14/CDT1/GINS2/PCNA/RECQL5/STAG2/EHMT2/CDK9/ORC6/NFIA/POLQ"	33
"GO:0006261"	"GO:0006261"	"DNA-dependent DNA replication"	"23/695"	"153/18670"	1.1825080335754e-08	2.85280063100066e-05	2.68367086356692e-05	"ZNF830/RFWD3/DDX11/POLE3/GEN1/RECQL4/CCNE1/POLD2/PRIMPOL/NBN/SETMAR/ATAD5/GINS4/ATRX/PNKP/CDT1/GINS2/PCNA/RECQL5/STAG2/CDK9/ORC6/POLQ"	23
"GO:0016569"	"GO:0016569"	"covalent chromatin modification"	"40/695"	"474/18670"	1.33508564479689e-06	0.00214726274538167	0.00201996115802252	"KANSL2/NAA40/PAXBP1/KDM5C/POLE3/SUPT6H/ATM/TET2/BAZ2A/KDM5B/HDAC10/UTY/ZNF335/GTF3C4/TRIM28/DOT1L/USP15/UHRF1/RPS6KA5/SETMAR/ATRX/PAF1/HDAC6/AURKB/SIRT1/RBM14/OGT/SETDB2/KDM5D/PER1/EHMT2/CDK9/USP16/RESF1/TBL1X/KAT6A/RNF168/PRDM16/JMJD1C/KMT2C"	40
"GO:0016570"	"GO:0016570"	"histone modification"	"38/695"	"454/18670"	2.98171070217304e-06	0.00359668853449623	0.0033834569862553	"KANSL2/NAA40/PAXBP1/KDM5C/POLE3/SUPT6H/ATM/TET2/BAZ2A/KDM5B/HDAC10/UTY/ZNF335/GTF3C4/DOT1L/USP15/UHRF1/RPS6KA5/SETMAR/ATRX/PAF1/HDAC6/AURKB/SIRT1/RBM14/OGT/SETDB2/KDM5D/PER1/EHMT2/CDK9/USP16/TBL1X/KAT6A/RNF168/PRDM16/JMJD1C/KMT2C"	38
"GO:0007050"	"GO:0007050"	"cell cycle arrest"	"24/695"	"237/18670"	9.21899607699242e-06	0.00809442417323856	0.00761454203108911	"DDIT3/PLK2/E2F1/CDKN2B/ATM/MTBP/GAS7/CDKN2A/NBN/SETMAR/CDKN1B/ABL1/TP73/CNOT3/KIF20B/KLLN/TBRG4/PKD2/PCNA/PIDD1/CDK9/PRKAG2/BTG2/PPP1R15A"	24
"GO:0045787"	"GO:0045787"	"positive regulation of cell cycle"	"33/695"	"389/18670"	1.00656051895195e-05	0.00809442417323856	0.00761454203108911	"PLK2/PAFAH1B1/DDX11/E2F1/ATM/GEN1/PHIP/CKS2/CCNE1/NUP62/MTBP/NUMA1/STXBP4/SETMAR/ATAD5/RAB11FIP4/ATRX/CDKN1B/ABL1/PAF1/TP73/AKT1/AURKB/CNOT3/KIF20B/CDT1/PKD2/PCNA/PIDD1/LRP6/CDK9/BTG2/CDCA5"	33
"GO:0045005"	"GO:0045005"	"DNA-dependent DNA replication maintenance of fidelity"	"9/695"	"41/18670"	1.56698076242907e-05	0.010162189070955	0.00955971841264422	"ZNF830/RFWD3/DDX11/GEN1/PRIMPOL/SETMAR/ATRX/PCNA/CDK9"	9
"GO:0031297"	"GO:0031297"	"replication fork processing"	"8/695"	"32/18670"	1.68492254026197e-05	0.010162189070955	0.00955971841264422	"RFWD3/DDX11/GEN1/PRIMPOL/SETMAR/ATRX/PCNA/CDK9"	8
"GO:0090068"	"GO:0090068"	"positive regulation of cell cycle process"	"27/695"	"298/18670"	2.01298309014772e-05	0.0107918260110697	0.010152026999669	"PLK2/DDX11/E2F1/ATM/GEN1/PHIP/CCNE1/NUP62/MTBP/NUMA1/STXBP4/ATAD5/RAB11FIP4/ATRX/CDKN1B/PAF1/TP73/AKT1/AURKB/CNOT3/KIF20B/CDT1/PKD2/PCNA/PIDD1/BTG2/CDCA5"	27
"GO:2001252"	"GO:2001252"	"positive regulation of chromosome organization"	"19/695"	"174/18670"	2.73161187653735e-05	0.0130931414037117	0.0123169077137289	"PAXBP1/DDX11/ATM/NUMA1/TRIM28/NBN/RPS6KA5/ATRX/PNKP/PAF1/HNRNPD/AURKB/SIRT1/OGT/CDT1/CDK9/RESF1/TCP1/GNL3"	19
"GO:0046578"	"GO:0046578"	"regulation of Ras protein signal transduction"	"23/695"	"238/18670"	2.98496487960266e-05	0.0130931414037117	0.0123169077137289	"IQSEC3/KANK1/MADD/NUP62/SHOC2/FGD6/MYO9B/RALGPS2/PREX1/LPAR4/SCAI/NET1/ABL1/FBXO8/LZTR1/RASAL3/OGT/APOE/DLC1/ARHGEF40/RASA3/AKAP13/APOA1"	23
"GO:0051054"	"GO:0051054"	"positive regulation of DNA metabolic process"	"22/695"	"228/18670"	4.52151312053744e-05	0.018180250672161	0.0171024250664539	"DDX11/ATM/HDAC10/FUS/TRIM28/NBN/SETMAR/ATAD5/ATRX/PNKP/USP9X/HNRNPD/AKT1/AURKB/SIRT1/CDT1/PCNA/RESF1/TCP1/RNF168/SMCHD1/GNL3"	22
"GO:1901987"	"GO:1901987"	"regulation of cell cycle phase transition"	"36/695"	"480/18670"	5.7312434964712e-05	0.0194738741050031	0.0183193553620449	"PCM1/PLK2/CEP76/TUBA1A/ZNF830/RFWD3/PAFAH1B1/E2F1/OFD1/CDKN2B/ATM/GEN1/KNTC1/CCNE1/CKAP5/MTBP/STXBP4/CDKN2A/NBN/ATAD5/CDKN1B/PAF1/AKT1/AURKB/CNOT3/RBL1/CDT1/PKD2/CNTRL/PCNA/PIDD1/CSNK1D/BTG2/CDCA5/DACT1/USP47"	36
"GO:1901990"	"GO:1901990"	"regulation of mitotic cell cycle phase transition"	"34/695"	"444/18670"	6.09021341529892e-05	0.0194738741050031	0.0183193553620449	"PCM1/PLK2/CEP76/TUBA1A/ZNF830/RFWD3/PAFAH1B1/E2F1/OFD1/CDKN2B/ATM/GEN1/KNTC1/CCNE1/CKAP5/MTBP/CDKN2A/NBN/ATAD5/CDKN1B/AKT1/AURKB/CNOT3/RBL1/CDT1/PKD2/CNTRL/PCNA/PIDD1/CSNK1D/BTG2/CDCA5/DACT1/USP47"	34
"GO:0045930"	"GO:0045930"	"negative regulation of mitotic cell cycle"	"28/695"	"338/18670"	7.07306674893547e-05	0.0194738741050031	0.0183193553620449	"PLK2/ZNF830/RFWD3/E2F1/CDKN2B/ATM/GEN1/KNTC1/MTBP/HECA/CDKN2A/NBN/SETMAR/ATRX/CDKN1B/ABL1/AURKB/CNOT3/FZD3/RBL1/CDT1/PKD2/FOXC1/PCNA/PIDD1/BTG2/DACT1/USP47"	28
"GO:0051056"	"GO:0051056"	"regulation of small GTPase mediated signal transduction"	"28/695"	"338/18670"	7.07306674893547e-05	0.0194738741050031	0.0183193553620449	"RHOH/ARHGAP4/IQSEC3/KANK1/MADD/NUP62/SHOC2/FGD6/MYO9B/RALGPS2/PREX1/LPAR4/SCAI/NET1/ABL1/FBXO8/LZTR1/RASAL3/OGT/APOE/DLC1/ARHGAP33/ARHGEF40/RALGAPA2/RASA3/DEPDC1B/AKAP13/APOA1"	28
"GO:0051052"	"GO:0051052"	"regulation of DNA metabolic process"	"33/695"	"429/18670"	7.13904885919869e-05	0.0194738741050031	0.0183193553620449	"ZNF830/KPNA2/DDX11/SUPT6H/ATM/HDAC10/FUS/DNAJC2/TRIM28/NBN/RBBP6/SETMAR/ATAD5/ATRX/PNKP/USP9X/HNRNPD/TSPYL2/AKT1/AURKB/SIRT1/CDT1/PCNA/RECQL5/STAG2/EHMT2/CDK9/RESF1/TCP1/RNF168/SMCHD1/GNL3/POLQ"	33
"GO:0007265"	"GO:0007265"	"Ras protein signal transduction"	"34/695"	"448/18670"	7.26486495108924e-05	0.0194738741050031	0.0183193553620449	"PLK2/RHOH/LAT/DNAJC27/ARHGAP4/IQSEC3/KANK1/MADD/RREB1/NUP62/SHOC2/FGD6/MYO9B/TRIM28/CDKN2A/ELMO1/RALGPS2/PREX1/LPAR4/SCAI/NET1/ABL1/RAB2B/FBXO8/LZTR1/RASAL3/OGT/APOE/DLC1/ROCK1/ARHGEF40/RASA3/AKAP13/APOA1"	34
"GO:0018205"	"GO:0018205"	"peptidyl-lysine modification"	"31/695"	"397/18670"	8.92417570032225e-05	0.0219942470822896	0.0206903067180437	"KANSL2/NAA40/ZMIZ1/POLE3/SUPT6H/TET2/HDAC10/NUP62/ZNF335/GTF3C4/TRIM28/DOT1L/RPS6KA5/SETMAR/ATRX/EEF1AKMT2/HDAC6/SIRT1/OGT/SETDB2/NUP42/RANBP2/PER1/EHMT2/NUP188/PIAS2/CSKMT/KAT6A/PRDM16/GNL3/KMT2C"	31
