"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0006260"	"GO:0006260"	"DNA replication"	"29/589"	"274/18670"	1.30629860280972e-08	5.94104604557862e-05	5.5799576107388e-05	"ZNF830/RFWD3/NFIC/DDX11/GEN1/RECQL4/PCLAF/CCNE1/DNAJC2/PRIMPOL/POLD2/RBBP6/PNKP/GINS4/TSPYL2/FBH1/ATAD5/RBBP7/CDT1/RBM14/GTPBP4/PCNA/RECQL5/GINS2/CDK9/EHMT2/NFIA/ORC6/POLQ"	29
"GO:0006261"	"GO:0006261"	"DNA-dependent DNA replication"	"19/589"	"153/18670"	3.66593201149841e-07	0.000833632939414738	0.000782965900140028	"ZNF830/RFWD3/DDX11/GEN1/RECQL4/CCNE1/PRIMPOL/POLD2/PNKP/GINS4/FBH1/ATAD5/CDT1/PCNA/RECQL5/GINS2/CDK9/ORC6/POLQ"	19
"GO:0034614"	"GO:0034614"	"cellular response to reactive oxygen species"	"17/589"	"168/18670"	2.40513359354407e-05	0.0286472932632146	0.0269061510119254	"AKR1C3/PAWR/PDGFD/MMP2/ABL1/PXN/HNRNPD/NET1/ETS1/LCN2/AKT1/HDAC6/SIRT1/RELA/PCNA/PKD2/MYB"	17
"GO:1901990"	"GO:1901990"	"regulation of mitotic cell cycle phase transition"	"31/589"	"444/18670"	3.35329253101229e-05	0.0286472932632146	0.0269061510119254	"PCM1/PLK2/CEP76/TUBA1A/ZNF830/RFWD3/PAFAH1B1/E2F1/GEN1/KNTC1/OFD1/CCNE1/CKAP5/MTBP/CDKN1B/AKT1/ATAD5/AURKB/CDT1/RBL1/PIDD1/CNOT3/PCNA/PKD2/CSNK1D/BTG2/KMT2E/CDCA5/CNTRL/DACT1/USP47"	31
"GO:0045005"	"GO:0045005"	"DNA-dependent DNA replication maintenance of fidelity"	"8/589"	"41/18670"	3.56314754432214e-05	0.0286472932632146	0.0269061510119254	"ZNF830/RFWD3/DDX11/GEN1/PRIMPOL/FBH1/PCNA/CDK9"	8
"GO:2001252"	"GO:2001252"	"positive regulation of chromosome organization"	"17/589"	"174/18670"	3.77932628802304e-05	0.0286472932632146	0.0269061510119254	"PAXBP1/DDX11/NUMA1/TRIM28/PNKP/RPS6KA5/HNRNPD/AURKB/CDT1/OGT/SIRT1/CDK9/TCP1/RESF1/KMT2E/GNL3/MYB"	17
"GO:0045787"	"GO:0045787"	"positive regulation of cell cycle"	"28/589"	"389/18670"	4.7016200277295e-05	0.0288875573404815	0.0271318121760112	"PLK2/PAFAH1B1/DDX11/E2F1/GEN1/CKS2/CCNE1/MTBP/NUMA1/STXBP4/ABL1/RAB11FIP4/CDKN1B/AKT1/ATAD5/AURKB/CDT1/KIF20B/PIDD1/CNOT3/PCNA/PKD2/LRP6/CDK9/BTG2/KMT2E/CDCA5/MYBBP1A"	28
"GO:0031297"	"GO:0031297"	"replication fork processing"	"7/589"	"32/18670"	5.08136452778918e-05	0.0288875573404815	0.0271318121760112	"RFWD3/DDX11/GEN1/PRIMPOL/FBH1/PCNA/CDK9"	7
"GO:1901987"	"GO:1901987"	"regulation of cell cycle phase transition"	"32/589"	"480/18670"	6.11635569408991e-05	0.0309079841074677	0.0290294402416571	"PCM1/PLK2/CEP76/TUBA1A/ZNF830/RFWD3/PAFAH1B1/E2F1/GEN1/KNTC1/OFD1/CCNE1/CKAP5/MTBP/STXBP4/CDKN1B/AKT1/ATAD5/AURKB/CDT1/RBL1/PIDD1/CNOT3/PCNA/PKD2/CSNK1D/BTG2/KMT2E/CDCA5/CNTRL/DACT1/USP47"	32
"GO:0090068"	"GO:0090068"	"positive regulation of cell cycle process"	"23/589"	"298/18670"	7.78505066519881e-05	0.0354064104253242	0.0332544585256598	"PLK2/DDX11/E2F1/GEN1/CCNE1/MTBP/NUMA1/STXBP4/RAB11FIP4/CDKN1B/AKT1/ATAD5/AURKB/CDT1/KIF20B/PIDD1/CNOT3/PCNA/PKD2/BTG2/KMT2E/CDCA5/MYBBP1A"	23
