"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0006984"	"GO:0006984"	"ER-nucleus signaling pathway"	"7/271"	"46/18670"	4.14548304080767e-06	0.0142204546292216	0.0125618622487974	"HERPUD1/HSP90B1/ARHGEF10L/HSPA5/GSK3B/CALR/ZBTB7B"	7
"GO:0018105"	"GO:0018105"	"peptidyl-serine phosphorylation"	"16/271"	"299/18670"	8.27011028160605e-06	0.0142204546292216	0.0125618622487974	"HMGA2/PAK2/TENM1/HIPK3/PRKY/WNK1/FNIP2/TGFBR2/SYK/CSNK1G3/PRKCA/RASSF2/GSK3B/PLCL2/PPM1F/MAST3"	16
"GO:0010923"	"GO:0010923"	"negative regulation of phosphatase activity"	"9/271"	"104/18670"	2.06756056064069e-05	0.0178083725250889	0.0157313059510588	"TSKS/SEMA4D/CRY2/FARP1/WNK1/PHACTR1/PHACTR2/GSK3B/FKBP15"	9
"GO:0018209"	"GO:0018209"	"peptidyl-serine modification"	"16/271"	"322/18670"	2.07134312591903e-05	0.0178083725250889	0.0157313059510588	"HMGA2/PAK2/TENM1/HIPK3/PRKY/WNK1/FNIP2/TGFBR2/SYK/CSNK1G3/PRKCA/RASSF2/GSK3B/PLCL2/PPM1F/MAST3"	16
"GO:0035305"	"GO:0035305"	"negative regulation of dephosphorylation"	"9/271"	"111/18670"	3.48161534489742e-05	0.0220667885119723	0.019493044687272	"TSKS/SEMA4D/CRY2/FARP1/WNK1/PHACTR1/PHACTR2/GSK3B/FKBP15"	9
"GO:0031396"	"GO:0031396"	"regulation of protein ubiquitination"	"12/271"	"204/18670"	4.53563392398878e-05	0.0220667885119723	0.019493044687272	"UBQLN1/SASH1/HERPUD1/BCL10/PLAA/NOD2/DTX3L/ISG15/HSPA5/N4BP1/FEM1B/PRICKLE1"	12
"GO:0010921"	"GO:0010921"	"regulation of phosphatase activity"	"11/271"	"175/18670"	5.16707100642547e-05	0.0220667885119723	0.019493044687272	"TSKS/SEMA4D/CRY2/FARP1/HSP90B1/WNK1/PPP2R5E/PHACTR1/PHACTR2/GSK3B/FKBP15"	11
"GO:0001933"	"GO:0001933"	"negative regulation of protein phosphorylation"	"18/271"	"429/18670"	5.95442551722547e-05	0.0220667885119723	0.019493044687272	"GNAQ/NDRG2/PAK2/LRRK1/SEMA4D/LYN/CORO1C/HIPK3/WNK1/ADORA2A/DAG1/PTPRJ/FOXO1/DNAJC3/RASSF2/RB1/IPO7/PPM1F"	18
"GO:0034975"	"GO:0034975"	"protein folding in endoplasmic reticulum"	"4/271"	"16/18670"	6.88683555771521e-05	0.0220667885119723	0.019493044687272	"HSP90B1/HSPA5/DNAJC3/CALR"	4
"GO:0060337"	"GO:0060337"	"type I interferon signaling pathway"	"8/271"	"95/18670"	7.2595637975793e-05	0.0220667885119723	0.019493044687272	"OAS2/MX2/IFIT1/IFIT2/ISG15/OAS3/IRF8/XAF1"	8
