"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"RBP7","OK","negbinomial.size",0,0,"RBP7",9972
"CD52","OK","negbinomial.size",0,0,"CD52",13003
"IFI6","OK","negbinomial.size",0,0,"IFI6",9712
"IFI44L","OK","negbinomial.size",0,0,"IFI44L",6235
"CTSS","OK","negbinomial.size",0,0,"CTSS",18740
"S100A10","OK","negbinomial.size",0,0,"S100A10",18488
"S100A12","OK","negbinomial.size",0,0,"S100A12",15981
"LMNA","OK","negbinomial.size",0,0,"LMNA",8872
"SELL","OK","negbinomial.size",0,0,"SELL",12815
"PTPRC","OK","negbinomial.size",0,0,"PTPRC",18841
"G0S2","OK","negbinomial.size",0,0,"G0S2",13215
"NLRP3","OK","negbinomial.size",0,0,"NLRP3",13633
"ID2","OK","negbinomial.size",0,0,"ID2",16136
"TMSB10","OK","negbinomial.size",0,0,"TMSB10",19859
"IL1B","OK","negbinomial.size",0,0,"IL1B",15682
"IL1RN","OK","negbinomial.size",0,0,"IL1RN",9152
"ZEB2","OK","negbinomial.size",0,0,"ZEB2",18945
"CCL20","OK","negbinomial.size",0,0,"CCL20",1420
"ARL4C","OK","negbinomial.size",0,0,"ARL4C",7643
"NFKBIZ","OK","negbinomial.size",0,0,"NFKBIZ",18468
"PARP14","OK","negbinomial.size",0,0,"PARP14",9437
"CXCL8","OK","negbinomial.size",0,0,"CXCL8",18325
"CXCL2","OK","negbinomial.size",0,0,"CXCL2",11372
"AREG","OK","negbinomial.size",0,0,"AREG",6128
"RPL37","OK","negbinomial.size",0,0,"RPL37",19854
"LUCAT1","OK","negbinomial.size",0,0,"LUCAT1",11529
"PHACTR1","OK","negbinomial.size",0,0,"PHACTR1",14060
"CD83","OK","negbinomial.size",0,0,"CD83",16256
"HIST1H1C","OK","negbinomial.size",0,0,"HIST1H1C",5539
"IER3","OK","negbinomial.size",0,0,"IER3",15836
"HLA-C","OK","negbinomial.size",0,0,"HLA-C",18792
"HLA-DRB5","OK","negbinomial.size",0,0,"HLA-DRB5",8321
"SNHG5","OK","negbinomial.size",0,0,"SNHG5",14609
"PNRC1","OK","negbinomial.size",0,0,"PNRC1",19201
"SGK1","OK","negbinomial.size",0,0,"SGK1",16334
"TNFAIP3","OK","negbinomial.size",0,0,"TNFAIP3",17632
"SOD2","OK","negbinomial.size",0,0,"SOD2",18728
"AHR","OK","negbinomial.size",0,0,"AHR",15368
"CEBPD","OK","negbinomial.size",0,0,"CEBPD",17930
"AZIN1-AS1","OK","negbinomial.size",0,0,"AZIN1-AS1",7095
"LY6E","OK","negbinomial.size",0,0,"LY6E",11533
"KLF4","OK","negbinomial.size",0,0,"KLF4",17168
"HSPA5","OK","negbinomial.size",0,0,"HSPA5",15553
"PPA1","OK","negbinomial.size",0,0,"PPA1",8878
"SHTN1","OK","negbinomial.size",0,0,"SHTN1",9427
"IFITM3","OK","negbinomial.size",0,0,"IFITM3",12730
"LSP1","OK","negbinomial.size",0,0,"LSP1",15404
"HBB","OK","negbinomial.size",0,0,"HBB",14933
"NEAT1","OK","negbinomial.size",0,0,"NEAT1",20220
"MALAT1","OK","negbinomial.size",0,0,"MALAT1",20314
"FOLR3","OK","negbinomial.size",0,0,"FOLR3",3097
"LRRK2","OK","negbinomial.size",0,0,"LRRK2",11861
"PHLDA1","OK","negbinomial.size",0,0,"PHLDA1",6322
"DUSP6","OK","negbinomial.size",0,0,"DUSP6",16695
"ALDH2","OK","negbinomial.size",0,0,"ALDH2",11311
"RPL21","OK","negbinomial.size",0,0,"RPL21",19022
"RNASE2","OK","negbinomial.size",0,0,"RNASE2",9915
"NFKBIA","OK","negbinomial.size",0,0,"NFKBIA",19755
"FOS","OK","negbinomial.size",0,0,"FOS",20120
"CRIP1","OK","negbinomial.size",0,0,"CRIP1",16001
"SERF2","OK","negbinomial.size",0,0,"SERF2",19268
"RPLP1","OK","negbinomial.size",0,0,"RPLP1",20100
"BCL2A1","OK","negbinomial.size",0,0,"BCL2A1",16643
"HBA2","OK","negbinomial.size",0,0,"HBA2",13703
"HBA1","OK","negbinomial.size",0,0,"HBA1",11645
"XAF1","OK","negbinomial.size",0,0,"XAF1",9414
"SNHG29","OK","negbinomial.size",0,0,"SNHG29",16341
"CCL3","OK","negbinomial.size",0,0,"CCL3",15478
"CCL4","OK","negbinomial.size",0,0,"CCL4",6162
"CCL3L1","OK","negbinomial.size",0,0,"CCL3L1",14291
"HOXB-AS3","OK","negbinomial.size",0,0,"HOXB-AS3",1583
"MPO","OK","negbinomial.size",0,0,"MPO",5020
"H3F3B","OK","negbinomial.size",0,0,"H3F3B",19888
"AZU1","OK","negbinomial.size",0,0,"AZU1",5433
"CFD","OK","negbinomial.size",0,0,"CFD",18226
"STXBP2","OK","negbinomial.size",0,0,"STXBP2",15485
"HCST","OK","negbinomial.size",0,0,"HCST",17714
"PPP1R15A","OK","negbinomial.size",0,0,"PPP1R15A",19108
"TNNT1","OK","negbinomial.size",0,0,"TNNT1",5178
"CD93","OK","negbinomial.size",0,0,"CD93",11443
"CST3","OK","negbinomial.size",0,0,"CST3",19092
"ITGB2","OK","negbinomial.size",0,0,"ITGB2",18220
"S100B","OK","negbinomial.size",0,0,"S100B",900
"TIMP1","OK","negbinomial.size",0,0,"TIMP1",16121
"RBM3","OK","negbinomial.size",0,0,"RBM3",16778
"RPS4X","OK","negbinomial.size",0,0,"RPS4X",19367
"XIST","OK","negbinomial.size",0,0,"XIST",8100
"RPS4Y1","OK","negbinomial.size",0,0,"RPS4Y1",8579
"DDX3Y","OK","negbinomial.size",0,0,"DDX3Y",7334
"MT-CO1","OK","negbinomial.size",0,0,"MT-CO1",20156
"MT-CO2","OK","negbinomial.size",0,0,"MT-CO2",20222
"MT-ND4","OK","negbinomial.size",0,0,"MT-ND4",20102
"ISG15","OK","negbinomial.size",2.96439387504748e-323,6.17087991655717e-321,"ISG15",9332
"DDX5","OK","negbinomial.size",3.50786608547285e-322,7.22373380784487e-320,"DDX5",19710
"CTSG","OK","negbinomial.size",6.27463370218383e-322,1.27849367174339e-319,"CTSG",1088
"HOXB6","OK","negbinomial.size",2.0207284914907e-321,4.07450997468818e-319,"HOXB6",1608
"AQP9","OK","negbinomial.size",2.19847700669807e-317,4.38720818810137e-315,"AQP9",8716
"HIST1H1E","OK","negbinomial.size",4.0158387751044e-315,7.93210113976538e-313,"HIST1H1E",5077
"EIF2AK2","OK","negbinomial.size",2.47827780275943e-314,4.84565893212106e-312,"EIF2AK2",8426
"SLC24A4","OK","negbinomial.size",1.4087550851367e-311,2.72692721829911e-309,"SLC24A4",9906
"SLC11A1","OK","negbinomial.size",3.73277094050732e-310,7.15398486093071e-308,"SLC11A1",15135
"CLEC11A","OK","negbinomial.size",2.10979382788373e-299,4.00385089473975e-297,"CLEC11A",2873
"RNF213","OK","negbinomial.size",8.82432187120246e-299,1.65837280059093e-296,"RNF213",13253
"FOSB","OK","negbinomial.size",1.35546167765874e-298,2.52285304754233e-296,"FOSB",19748
"NKG7","OK","negbinomial.size",6.28338617005724e-298,1.15835720089332e-295,"NKG7",5053
"TGFBI","OK","negbinomial.size",5.13198673878077e-295,9.37168559458296e-293,"TGFBI",7706
"BASP1","OK","negbinomial.size",1.0302703203593e-294,1.86382641039206e-292,"BASP1",9944
"MT-ND5","OK","negbinomial.size",9.79659370198081e-289,1.75585800267817e-286,"MT-ND5",19416
"IFI44","OK","negbinomial.size",9.44882407389809e-288,1.67798979448115e-285,"IFI44",5891
"SH3BGRL3","OK","negbinomial.size",9.61048246664154e-288,1.69118281006164e-285,"SH3BGRL3",19383
"IGFBP7","OK","negbinomial.size",5.91690192090992e-286,1.03183306741489e-283,"IGFBP7",6585
"AP1S2","OK","negbinomial.size",1.49636306691496e-284,2.58616963270293e-282,"AP1S2",17105
"OAS3","OK","negbinomial.size",1.55073507099288e-282,2.65642289993001e-280,"OAS3",4353
"RPL36A","OK","negbinomial.size",1.56488636868223e-280,2.6571495998756e-278,"RPL36A",19225
"PTMA","OK","negbinomial.size",6.54198757440138e-279,1.10115872589294e-276,"PTMA",19793
"MT-ND3","OK","negbinomial.size",5.8900513095533e-278,9.8287692412951e-276,"MT-ND3",20091
"SULT1A1","OK","negbinomial.size",6.23155575297673e-278,1.03097627957582e-275,"SULT1A1",13078
"SOX4","OK","negbinomial.size",1.84598603145964e-277,3.02819928906476e-275,"SOX4",6543
"RPL23","OK","negbinomial.size",3.91082946078117e-275,6.36150637582699e-273,"RPL23",18964
"TAGAP","OK","negbinomial.size",1.86474585352036e-272,3.00799045721614e-270,"TAGAP",13788
"JMJD1C","OK","negbinomial.size",5.70971498746859e-271,9.13412834813467e-269,"JMJD1C",16148
"EIF4E","OK","negbinomial.size",1.88724581675987e-265,2.99437846516564e-263,"EIF4E",11010
"MX2","OK","negbinomial.size",8.24345180002309e-264,1.29730484953697e-261,"MX2",9550
"VEGFA","OK","negbinomial.size",4.63676803068122e-263,7.23821925563681e-261,"VEGFA",8150
"SRGN","OK","negbinomial.size",1.12508705023237e-262,1.74226480250783e-260,"SRGN",19912
