"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LTB",0,1.34609146221324,0.963,0.565,0,"0","LTB"
"RPL23",0,0.977907090776582,1,0.992,0,"0","RPL23"
"RPS17",0,0.876801066852912,0.997,0.971,0,"0","RPS17"
"LDHB",0,0.819361546668636,0.925,0.677,0,"0","LDHB"
"RCAN3",0,0.816787173539406,0.655,0.158,0,"0","RCAN3"
"RPS13",0,0.811287608245661,1,0.999,0,"0","RPS13"
"RPS8",0,0.804159418582163,1,1,0,"0","RPS8"
"MAL",0,0.802634513305944,0.538,0.063,0,"0","MAL"
"RPL21",0,0.77999493642363,1,0.999,0,"0","RPL21"
"PRKCQ-AS1",0,0.773907176916052,0.588,0.169,0,"0","PRKCQ-AS1"
"RPS6",0,0.773276467456639,1,1,0,"0","RPS6"
"IL7R",0,0.762433408665932,0.899,0.534,0,"0","IL7R"
"RPS3A",0,0.759029116215223,1,1,0,"0","RPS3A"
"RPS20",0,0.753726692382156,1,0.999,0,"0","RPS20"
"NOSIP",0,0.741969695872322,0.655,0.267,0,"0","NOSIP"
"RPL32",0,0.729365882458786,1,1,0,"0","RPL32"
"RPL9",0,0.723899441960604,1,1,0,"0","RPL9"
"RPS12",0,0.720808993091413,1,1,0,"0","RPS12"
"RPS5",0,0.712599775924759,0.999,0.995,0,"0","RPS5"
"RPL34",0,0.706353900930203,1,1,0,"0","RPL34"
"EEF1B2",0,0.704588472815215,0.998,0.992,0,"0","EEF1B2"
"TCF7",0,0.703107253465487,0.684,0.275,0,"0","TCF7"
"RPS25",0,0.700907672994212,1,1,0,"0","RPS25"
"GAS5",0,0.689684003008426,0.953,0.769,0,"0","GAS5"
"SARAF",0,0.686676901887611,0.972,0.87,0,"0","SARAF"
"RPL27A",0,0.686108155686026,1,0.999,0,"0","RPL27A"
"RPL7",0,0.685966227590153,1,0.997,0,"0","RPL7"
"RPL22",0,0.679710082694807,1,0.999,0,"0","RPL22"
"LEF1",0,0.678659964622435,0.512,0.091,0,"0","LEF1"
"RPS16",0,0.67508016976351,1,0.999,0,"0","RPS16"
"RPL30",0,0.673410770338812,1,1,0,"0","RPL30"
"RPL11",0,0.662068154890316,1,1,0,"0","RPL11"
"RPL13",0,0.656107323885544,1,1,0,"0","RPL13"
"EIF3E",0,0.652852392722871,0.926,0.739,0,"0","EIF3E"
"RGS10",0,0.644038029534067,0.726,0.374,0,"0","RGS10"
"TPT1",0,0.640373054423725,1,1,0,"0","TPT1"
"CCR7",0,0.637185408858998,0.448,0.072,0,"0","CCR7"
"RPS18",0,0.632091041173834,1,1,0,"0","RPS18"
"RPL31",0,0.631457078153202,1,0.995,0,"0","RPL31"
"RPS28",0,0.630138310359952,1,1,0,"0","RPS28"
"GPR183",0,0.628382877601397,0.551,0.255,0,"0","GPR183"
"RPS11",0,0.628341128042628,1,0.999,0,"0","RPS11"
"RPL5",0,0.622566857752502,1,1,0,"0","RPL5"
"RPS10",0,0.611554593256563,1,0.998,0,"0","RPS10"
"RPL10A",0,0.610794658480086,1,0.998,0,"0","RPL10A"
"RPL38",0,0.59906789795652,1,0.999,0,"0","RPL38"
"LEPROTL1",0,0.587735746450806,0.848,0.612,0,"0","LEPROTL1"
"RPS14",0,0.585758417788426,1,1,0,"0","RPS14"
"TMEM123",0,0.5852106483676,0.742,0.396,0,"0","TMEM123"
"RPLP2",0,0.583085608221184,1,1,0,"0","RPLP2"
"EEF1G",0,0.582711245379607,0.992,0.969,0,"0","EEF1G"
"RPL39",0,0.582692310931353,1,1,0,"0","RPL39"
"RPS23",0,0.570003865441588,1,1,0,"0","RPS23"
"BCL11B",0,0.567476668469704,0.823,0.545,0,"0","BCL11B"
"PIK3IP1",0,0.566597807404859,0.762,0.436,0,"0","PIK3IP1"
"RPL35A",0,0.563271100497918,1,1,0,"0","RPL35A"
"SOCS3",0,0.557178845724318,0.465,0.196,0,"0","SOCS3"
"RPS27",0,0.556890582093073,1,1,0,"0","RPS27"
"RPL10",0,0.55408839885389,1,1,0,"0","RPL10"
"RPL36",0,0.553448777542354,1,1,0,"0","RPL36"
