"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002443","GO:0002443","leukocyte mediated immunity","54/408","401/18614",3.58061657241297e-27,1.45945931491552e-23,1.06853136660955e-23,"4818/3002/3824/3820/5551/3004/3107/3106/3105/2214/7305/567/3689/10417/975/5788/925/22914/4092/7040/3115/3133/3560/1075/30009/259197/3113/3123/3134/3146/7133/22890/5880/10383/6348/5730/2207/117157/1524/5729/3823/11126/11314/121260/3684/57823/4067/10666/684/3916/8673/11118/1191/8773",54
"GO:0002449","GO:0002449","lymphocyte mediated immunity","40/408","300/18614",3.69857916092929e-20,7.5377043299739e-17,5.51866943222871e-17,"4818/3002/3824/3820/5551/3004/3107/3106/3105/2214/567/975/5788/925/22914/4092/7040/3115/3133/3560/1075/30009/259197/3113/3123/3134/3146/7133/22890/10383/2207/117157/3823/11126/121260/57823/10666/3916/11118/1191",40
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","28/408","139/18614",2.69220320025635e-19,3.65780674808163e-16,2.67803370972869e-16,"4818/3002/3824/3820/5551/3004/3107/3106/3105/2214/7305/567/5788/22914/7040/3133/1075/259197/3123/3134/10383/1524/3823/11126/3684/57823/10666/3916",28
"GO:0050900","GO:0050900","leukocyte migration","44/408","393/18614",4.58027368849093e-19,4.66729888857226e-16,3.41712523865047e-16,"6352/6351/3689/6846/975/22914/4267/5295/4478/3683/30009/5479/301/1843/2534/3146/3688/811/5880/3676/58515/387/6348/4627/7852/2207/1524/11314/4067/57580/101/682/5594/6693/6404/998/3695/7535/5478/6349/5473/5196/5197/9750",44
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","45/408","415/18614",6.27216758524072e-19,5.11307101548824e-16,3.74349370613841e-16,"6352/3458/3105/567/3689/864/3956/975/5788/22914/60/3561/4092/1326/4478/3115/3133/3683/30009/3113/3123/301/3659/2534/3146/3688/22890/5880/3676/58515/387/1524/11126/11314/7704/4067/101/6693/1051/6404/3695/7535/8631/83706/9750",45
"GO:0050867","GO:0050867","positive regulation of cell activation","43/408","394/18614",3.11697412002871e-18,2.11746441887284e-15,1.5502844965406e-15,"6352/3458/3105/2214/7305/567/3689/864/5341/3956/975/2316/5788/22914/60/3561/7040/1326/3115/3133/1075/30009/3113/3123/3134/301/2534/3146/22890/58515/387/6348/11126/3684/7704/4067/10666/101/7535/3916/8673/2812/2815",43
"GO:0001906","GO:0001906","cell killing","31/408","197/18614",5.81711805239714e-18,3.38722474022439e-15,2.47992927496931e-15,"4818/10578/3002/3824/3820/5551/3004/3458/3107/3106/3105/2214/7305/567/5788/22914/7040/3133/1075/259197/3123/3134/2597/10383/1524/3823/11126/3684/57823/10666/3916",31
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","34/408","246/18614",8.80671476006938e-18,4.48702117025535e-15,3.28513636115746e-15,"3824/3820/3107/3106/3105/7305/567/3689/975/5788/22914/4092/7040/3133/30009/259197/3123/3134/3146/7133/22890/5880/117157/1524/3823/11126/11314/121260/3684/4067/10666/684/3916/8673",34
"GO:0002697","GO:0002697","regulation of immune effector process","40/408","384/18614",2.53567412944922e-16,1.14837863907056e-13,8.40776158712111e-14,"3824/3820/3458/3107/3106/3105/7305/567/3689/10417/975/5788/22914/9516/4092/7040/3133/30009/259197/3123/3134/301/3146/7133/22890/5880/117157/1524/3823/11126/11314/121260/3684/4067/10666/684/3916/8673/7009/3726",40
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","39/408","377/18614",7.72554833198297e-16,2.86266681828751e-13,2.09587842307863e-13,"6352/3458/3105/2214/7305/567/3689/864/3956/975/5788/22914/60/3561/7040/1326/3115/3133/1075/30009/3113/3123/3134/301/2534/3146/22890/58515/387/6348/11126/3684/7704/4067/10666/101/7535/3916/8673",39
