,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0045936,GO:0045936,negative regulation of phosphate metabolic process,24/408,439/18614,4.14E-05,0.000564914,0.000413597,3458/801/5341/5788/4092/7040/5305/1843/2950/8826/4616/3725/11314/79888/4067/5478/5997/2771/23645/5577/808/8655/1032/2280,24
GO:0007162,GO:0007162,negative regulation of cell adhesion,20/408,312/18614,1.99E-05,0.000309234,0.000226403,864/5788/5295/4092/7040/30009/81/3123/301/1843/3659/80709/3146/4155/387/11314/6693/1051/8763/9750,20
GO:0031348,GO:0031348,negative regulation of defense response,18/408,284/18614,5.95E-05,0.000778118,0.000569693,8530/3824/3106/55646/3105/5788/7538/284207/7040/3133/3123/3134/2534/7133/2950/6095/313/4067,18
GO:0001818,GO:0001818,negative regulation of cytokine production,18/408,371/18614,0.00147659,0.011894428,0.00870841,3458/7305/5788/7538/5552/4092/7040/7114/30009/3123/3134/301/3146/2950/5966/1524/114769/684,18
GO:0042326,GO:0042326,negative regulation of phosphorylation,18/408,383/18614,0.002092281,0.015851555,0.011605588,3458/801/5788/4092/7040/5305/1843/2950/4616/3725/11314/4067/5478/5997/5577/808/8655/1032,18
GO:0002695,GO:0002695,negative regulation of leukocyte activation,17/408,202/18614,2.41E-06,4.98E-05,3.64E-05,8530/7305/3398/864/5788/4092/30009/3123/3134/301/3659/3146/11314/4067/6693/1051/9750,17
GO:0030336,GO:0030336,negative regulation of cell migration,17/408,375/18614,0.003962054,0.02568622,0.018805959,22914/4092/7040/1843/3146/811/387/8519/9289/1524/11314/684/397/51466/7414/7076/9750,17
GO:2000146,GO:2000146,negative regulation of cell motility,17/408,390/18614,0.005825591,0.035493437,0.025986234,22914/4092/7040/1843/3146/811/387/8519/9289/1524/11314/684/397/51466/7414/7076/9750,17
GO:0051250,GO:0051250,negative regulation of lymphocyte activation,15/408,168/18614,4.57E-06,8.66E-05,6.34E-05,7305/3398/864/4092/30009/3123/3134/301/3659/3146/11314/4067/6693/1051/9750,15
GO:0010721,GO:0010721,negative regulation of cell development,15/408,286/18614,0.001695692,0.013342933,0.00976892,567/3398/864/5295/4092/30009/301/3659/3146/4155/7832/6348/430/4067/7533,15
GO:0002698,GO:0002698,negative regulation of immune effector process,14/408,122/18614,4.72E-07,1.17E-05,8.58E-06,3824/3106/3105/5788/4092/7040/3133/30009/3134/301/1524/11314/684/7009,14
GO:0022408,GO:0022408,negative regulation of cell-cell adhesion,14/408,205/18614,0.00017993,0.001971488,0.001443409,864/4092/7040/30009/3123/301/3659/80709/3146/4155/11314/6693/1051/9750,14
GO:0051348,GO:0051348,negative regulation of transferase activity,14/408,279/18614,0.003556593,0.023738674,0.017380078,3458/5788/7538/4092/5305/1843/2950/4616/11314/4067/5478/5997/5577/1032,14
GO:0002704,GO:0002704,negative regulation of leukocyte mediated immunity,12/408,68/18614,2.52E-08,8.77E-07,6.42E-07,3824/3106/3105/5788/4092/7040/3133/30009/3134/1524/11314/684,12
GO:0033673,GO:0033673,negative regulation of kinase activity,12/408,239/18614,0.006675839,0.038885094,0.028469408,3458/5788/5305/1843/2950/4616/11314/4067/5478/5997/5577/1032,12
GO:0050868,GO:0050868,negative regulation of T cell activation,11/408,131/18614,0.00014781,0.001641621,0.0012019,864/4092/30009/3123/301/3659/3146/11314/6693/1051/9750,11
GO:1903038,GO:1903038,negative regulation of leukocyte cell-cell adhesion,11/408,150/18614,0.000479249,0.004553427,0.003333755,864/4092/30009/3123/301/3659/3146/11314/6693/1051/9750,11
GO:1902106,GO:1902106,negative regulation of leukocyte differentiation,10/408,109/18614,0.00014187,0.001597404,0.001169526,3398/864/5295/4092/30009/301/3659/3146/6348/4067,10
