"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","ADGRE5","CD55",0.0163827025136366,0,"ADGRE5_CD55","ADGRE5 - CD55","ADGRE5","Cell-Cell Contact","PMID: 11297558"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","ADGRE5","CD55",0.00137324991216181,0,"ADGRE5_CD55","ADGRE5 - CD55","ADGRE5","Cell-Cell Contact","PMID: 11297558"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","ADGRE5","CD55",0.000673605673184108,0,"ADGRE5_CD55","ADGRE5 - CD55","ADGRE5","Cell-Cell Contact","PMID: 11297558"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","ADGRE5","CD55",5.67643546683794e-05,0,"ADGRE5_CD55","ADGRE5 - CD55","ADGRE5","Cell-Cell Contact","PMID: 11297558"
"Natural killer cells","Natural killer cells","ALCAM","CD6",7.53172558722433e-05,0,"ALCAM_CD6","ALCAM - CD6","ALCAM","Cell-Cell Contact","KEGG: hsa04514"
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","APP","CD74",0.0040121939329281,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","APP","CD74",4.61776838026152e-07,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Natural killer cells","FCAR+ Macrophage cells","APP","CD74",3.49618880737961e-06,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","APP","CD74",0.000272057334765968,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","APP","CD74",3.13252448674986e-08,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Natural killer cells","FCGR3A+ Macrophage cells","APP","CD74",2.37168651836885e-07,0.02,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"FCAR+ Macrophage cells","Natural killer cells","APP","CD74",0.00101102867668597,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Natural killer cells","FCAR+ Macrophage cells","CD22","PTPRC",1.3902006840968e-05,0,"CD22_PTPRC","CD22 - PTPRC","CD22","Cell-Cell Contact","KEGG: hsa04514"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","CD22","PTPRC",9.934488555306e-07,0,"CD22_PTPRC","CD22 - PTPRC","CD22","Cell-Cell Contact","KEGG: hsa04514"
"Natural killer cells","FCGR3A+ Macrophage cells","CD22","PTPRC",1.02045427507231e-06,0,"CD22_PTPRC","CD22 - PTPRC","CD22","Cell-Cell Contact","KEGG: hsa04514"
"Natural killer cells","Natural killer cells","CD22","PTPRC",6.83975568076407e-06,0,"CD22_PTPRC","CD22 - PTPRC","CD22","Cell-Cell Contact","KEGG: hsa04514"
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","FCER2","ITGAM_ITGB2",7.59903777430779e-06,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","FCER2","ITGAM_ITGB2",5.11498965114448e-07,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"Natural killer cells","FCAR+ Macrophage cells","FCER2","ITGAM_ITGB2",2.5049073883654e-06,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","FCER2","ITGAM_ITGB2",2.63528980720589e-07,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","FCER2","ITGAM_ITGB2",1.77384090514717e-08,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","FCER2","ITGAX_ITGB2",1.14666562020519e-05,0,"FCER2A_ITGAX_ITGB2","FCER2A - (ITGAX+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
