"source","target","pathway_name","prob","pval"
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","ADGRE5",0.0163827025136366,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","APP",0.0040121939329281,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","CD23",1.90656939763597e-05,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","CD40",4.22017235213942e-10,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","CD46",2.18501721355503e-06,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","CD99",0.0136840367727879,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","CDH",5.80350123043299e-10,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","CDH5",3.1381793474604e-09,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","EPHA",1.42313070261548e-08,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","EPHB",3.63382601249413e-08,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","GP1BA",2.77908526104281e-05,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","ICAM",0.0262073659452609,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","ITGB2",0.012366504519203,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","MHC-I",0.0028282294813554,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","MHC-II",0.110881763088592,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","NOTCH",1.22052132159869e-06,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","OCLN",7.01958227723422e-09,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","PECAM1",0.00992484454704065,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","SELPLG",0.00358514501445863,0
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","SEMA4",0.000758590417149621,0
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","ADGRE5",0.000673605673184108,0
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","APP",0.000272057334765968,0
